销额预测,Est. Sales Amount,销额预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
SI币别,SI Currency,SI币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
SI价格,SI Price,SI价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
SI支持,SI Support,SI支持,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
SI数量,SI Quantity,SI数量,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
SI金额,Si Amount,SI金额,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
毛利2,Gross Profit 2,毛利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
净利2,Net Profit 2,净利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
单据详情,Details,单据详情,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\IBUActivityExamineAndApproveAddV2.vue
审批历史,Approval History,审批历史,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\IBUActivityExamineAndApproveAddV2.vue
流程图,Flow Chart,流程图,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\IBUActivityExamineAndApproveAddV2.vue
请先保存头信息,Please save header info.,请先保存头信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\IBUActivityExamineAndApproveAddV2.vue
子客户编码,Sub,子客户编码,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
客户编码,Customer Code,客户编码,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
客户名称,Customer Name,客户名称,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
子客户名称,Sub Customer Name,子客户名称,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
渠道大类,Channel Type,渠道大类,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
搜索,Search,搜索,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
活动基本信息维护,Basic Info. Maintain,活动基本信息维护,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
子客户简称,Sub Customer ABBR.,子客户简称,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
开始时间,Start Time,开始时间,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
结束时间,End Time,结束时间,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
促销类型,Promotion Type,促销类型,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
促销活动编码,Promotion No.,促销活动编码,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
促销简称,Promotion ABBR.,促销简称,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
活动类型编码,Promotion Type Code,活动类型编码,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
活动说明,Promotion Description,活动说明,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
取消,Cancel,取消,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
确定,Confirm,确定,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
产品状态,Status,产品状态,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
产品名称,Product Name,产品名称,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
产品系列型号,Factory Model,产品系列型号,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
产品SKU,SKU,产品SKU,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
SAPID,SAP ID,SAPID,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\components\OmsActivityModal.vue
单据详情,Details,单据详情,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\IBUActivityExamineAndApproveModifyV2.vue
审批历史,Approval History,审批历史,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\IBUActivityExamineAndApproveModifyV2.vue
流程图,Flow Chart,流程图,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\IBUActivityExamineAndApproveModifyV2.vue
请先保存头信息,Please save header info. firstly,请先保存头信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\IBUActivityExamineAndApproveModifyV2.vue
基础信息,Basic Info.,基础信息,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
流程编号,Process Code,流程编号,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
单据类型,Process Type,单据类型,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
国家,Country,国家,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
vat,VAT,vat,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
申请人,Applicant,申请人,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
日期范围,Date Range,日期范围,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
预计折扣金额/$,Est.. Discount Amount,预计折扣金额/$,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
促销预计销量/pcs,Est. Sales Volume,促销预计销量/pcs,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
促销预计销额/$,Est. Promotion Sales Amount,促销预计销额/$,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
线上净利1亏损促销/个,Net Profit 1 Loss Quantity,线上净利1亏损促销/个,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
预计亏损金额1RMB,Est. Loss Amount 1,预计亏损金额1RMB,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
线下净利2亏损促销/个,Net Profit 2 Loss Quantity,线下净利2亏损促销/个,src\page\service\oms\activity\pages\IBUActivityPromotionAddV2\IBUActivityPromotionAddV2.vue
